ID,price
1,954.25977
2,2852.3452
3,895.0994
4,2698.103
5,1098.6016
6,11447.756
7,6308.1294
8,4266.7534
9,2096.654
10,756.41907
11,1694.4739
12,1427.3157
13,4293.34
14,5232.6704
15,1119.0116
16,2651.2078
17,2283.0305
18,13279.549
19,4758.5977
20,5149.8203
21,1852.1736
22,973.12335
23,738.0248
24,1333.6807
25,6069.0293
26,3111.0247
27,13065.289
28,1451.1699
29,2638.8945
30,1367.9266
31,1230.8695
32,754.3153
33,7295.313
34,5278.4697
35,7747.8916
36,2235.9011
37,6317.9565
38,1259.4296
39,446.54984
40,1536.5814
41,3207.1328
42,9747.9
43,5837.4087
44,5590.9463
45,771.8205
46,813.6933
47,1394.7765
48,580.60376
49,592.77466
50,876.3914
51,648.15826
52,3843.916
53,17029.639
54,724.5142
55,11122.066
56,14380.899
57,4213.989
58,1675.4803
59,16994.252
60,11664.859
61,694.185
62,4352.787
63,14002.852
64,12181.141
65,1815.9634
66,9098.15
67,2806.5334
68,1088.101
69,953.5922
70,1465.8514
71,1292.3998
72,825.6796
73,6163.566
74,783.4694
75,5922.2
76,4668.3643
77,1698.9441
78,8910.226
79,3064.0806
80,1243.0627
81,10426.084
82,874.79596
83,5338.3438
84,4511.997
85,432.55807
86,4474.153
87,5467.716
88,5107.987
89,6742.2324
90,2039.0438
91,16213.446
92,926.97736
93,548.8598
94,750.4348
95,607.39233
96,599.47864
97,1677.6305
98,3373.7896
99,2258.9539
100,2366.3274
101,14725.705
102,1874.4706
103,779.13556
104,4475.015
105,3103.8035
106,6216.1826
107,1375.7185
108,12008.137
109,810.71564
110,829.2603
111,3122.058
112,951.5588
113,651.67236
114,711.411
115,561.9039
116,10262.577
117,986.93463
118,821.7612
119,1033.6813
120,5590.4346
121,701.4713
122,684.5291
123,7971.9243
124,1890.8094
125,1401.4413
126,598.8985
127,5397.245
128,4471.7803
129,1374.4966
130,914.4533
131,795.73145
132,6559.7256
133,799.40985
134,5408.2524
135,17302.617
136,10575.339
137,561.3121
138,1629.0798
139,778.57556
140,640.38184
141,6121.7676
142,1386.9753
143,6582.747
144,751.998
145,3722.054
146,3301.661
147,5664.87
148,1127.1201
149,6021.0967
150,995.1789
151,9845.553
152,4545.532
153,886.0403
154,888.22345
155,852.30896
156,7590.6406
157,3878.9978
158,3632.731
159,1169.5109
160,7906.7104
161,6430.6274
162,533.6949
163,577.74023
164,14903.15
165,9451.077
166,2042.7047
167,707.5185
168,1515.1931
169,3979.8071
170,676.234
171,5884.659
172,4635.125
173,9144.938
174,16333.965
175,12467.344
176,5874.2
177,3700.6348
178,925.69104
179,2905.515
180,2578.3552
181,549.1664
182,998.51434
183,1995.6271
184,2179.1597
185,759.7803
186,1131.8757
187,1699.4606
188,2357.7458
189,1906.2737
190,4966.906
191,4535.5273
192,891.8813
193,6044.136
194,14666.389
195,3325.4504
196,10144.348
197,3351.3228
198,4690.557
199,5091.4087
200,612.9818
201,5662.299
202,556.45026
203,6250.4824
204,8212.986
205,1211.8162
206,5194.384
207,5197.8877
208,2783.9187
209,5503.002
210,5571.834
211,769.1795
212,2464.2937
213,2270.108
214,1829.1036
215,15835.559
216,1207.1536
217,3101.3616
218,467.75363
219,2632.4976
220,1614.2433
221,12453.844
222,6771.1494
223,494.00455
224,1604.169
225,542.98804
226,806.76263
227,1010.0851
228,2958.6462
229,4797.694
230,2794.9224
231,1624.7358
232,643.3006
233,561.1625
234,2128.247
235,12518.556
236,766.1037
237,749.60474
238,4290.1304
239,598.6085
240,4948.1323
241,2388.3535
242,437.66937
243,16285.37
244,6341.823
245,7006.714
246,4494.222
247,742.76306
248,1048.0021
249,1597.7379
250,4786.7915
251,7812.511
252,11046.036
253,588.6859
254,16915.68
255,627.6172
256,16895.816
257,5205.1416
258,1693.648
259,872.89954
260,6511.3027
261,1247.7306
262,2123.6587
263,853.27423
264,8578.646
265,1719.7463
266,573.6388
267,13769.355
268,1776.9381
269,16209.38
270,4955.7227
271,7106.2505
272,5507.2344
273,584.9949
274,6245.1963
275,963.378
276,3217.2114
277,5053.505
278,1037.775
279,2115.4946
280,797.6112
281,461.97382
282,13098.439
283,6435.524
284,1407.5715
285,4663.7754
286,632.9524
287,2937.5513
288,631.62616
289,11576.415
290,2245.9531
291,4007.5334
292,2954.8806
293,2733.3228
294,3966.0955
295,784.02924
296,1210.019
297,7323.2134
298,5739.601
299,490.40094
300,13864.804
301,6586.717
